gene_name,EvC1,EvC2,C2vC1
CDH1,no significant difference,no significant difference,no significant difference
CDH5,no significant difference,no significant difference,no significant difference
HAS1,no significant difference,no significant difference,no significant difference
CSPG4,no significant difference,no significant difference,no significant difference
ZEB1,no significant difference,no significant difference,no significant difference
ZEB2,no significant difference,no significant difference,down
FN1,up,down,up
CDH2,up,no significant difference,up
VIM,no significant difference,no significant difference,no significant difference
SNAI1,up,no significant difference,up
SNAI2,up,no significant difference,up
S100A4,no significant difference,no significant difference,down
RNX2,no significant difference,no significant difference,no significant difference